City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Pacific Grove,US,36.6177,-121.9166,64.4,48,1,11.5,clear sky
249,Souillac,MU,-20.5167,57.5167,77.0,94,75,1.14,light rain
250,Fortuna,US,40.5982,-124.1573,61.0,67,1,18.41,clear sky
251,Saint George,US,37.1041,-113.5841,69.01,15,20,14.97,few clouds
252,Santa Marta,CO,11.2408,-74.199,91.4,55,75,18.41,broken clouds
253,Soyo,AO,-6.1349,12.3689,80.35,83,100,3.8,overcast clouds
254,Ghanzi,BW,-21.5667,21.7833,67.5,31,19,2.26,few clouds
255,Victoria,HK,22.2855,114.1577,73.0,94,100,13.82,overcast clouds
256,Gidam,IN,18.9833,81.4,70.77,60,3,0.94,clear sky
257,Saskylakh,RU,71.9167,114.0833,-7.69,99,97,5.75,overcast clouds
258,Havoysund,NO,70.9963,24.6622,37.4,87,75,10.36,light rain
259,Henties Bay,NA,-22.116,14.2845,75.0,63,56,4.0,broken clouds
260,Verkhnevilyuysk,RU,63.4453,120.3167,15.78,92,36,6.44,scattered clouds
261,Sulangan,PH,11.1373,123.7228,81.66,81,100,13.04,extreme rain
262,Zhanaozen,KZ,43.3,52.8,54.16,61,39,8.81,scattered clouds
263,Dikson,RU,73.5069,80.5464,-10.8,95,100,17.54,overcast clouds
264,Kunzell,DE,50.5442,9.7179,36.0,81,98,3.38,overcast clouds
265,Caravelas,BR,-17.7125,-39.2481,75.6,60,99,8.93,overcast clouds
266,Carnot,CF,4.9409,15.8665,74.12,69,29,3.13,scattered clouds
267,Fairlie,GB,55.756,-4.8556,42.8,75,75,4.61,broken clouds
268,Bulungu,CD,-4.55,18.6,71.78,87,58,2.04,broken clouds
269,Pandan,PH,14.0453,124.1694,78.42,88,100,8.34,overcast clouds
270,Puerto Colombia,CO,10.9878,-74.9547,86.0,70,75,12.66,broken clouds
271,Zenzeli,RU,45.9241,47.0474,58.12,51,12,16.8,few clouds
272,San Buenaventura,MX,27.0833,-101.5333,91.4,49,40,15.48,scattered clouds
273,Ruteng,ID,-8.6136,120.4721,58.37,73,97,1.21,overcast clouds
274,Bogorodskoye,RU,56.55,37.8833,44.64,88,100,14.63,overcast clouds
275,Erzin,TR,36.9559,36.2,59.0,81,19,2.98,few clouds
276,Opuwo,NA,-18.0607,13.84,69.93,59,99,2.04,overcast clouds
277,Barinitas,VE,8.7622,-70.4111,80.62,70,72,0.67,broken clouds
278,Tucumcari,US,35.1717,-103.725,51.8,76,90,9.22,overcast clouds
279,Balsas,BR,-7.5325,-46.0356,77.36,79,100,2.91,overcast clouds
280,Bafoulabe,ML,13.8065,-10.8321,95.67,14,58,4.45,broken clouds
281,Tiarei,PF,-17.5333,-149.3333,87.8,66,40,14.97,light rain
282,Kruisfontein,ZA,-34.0033,24.7314,64.0,78,100,4.0,overcast clouds
283,Kavaratti,IN,10.5669,72.642,83.71,70,9,4.45,clear sky
284,Khartoum,SD,15.5518,32.5324,82.0,16,70,10.47,broken clouds
285,Sandakan,MY,5.8402,118.1179,75.2,94,20,3.44,few clouds
286,Beloha,MG,-25.1667,45.05,70.9,93,0,6.89,light rain
287,Bambanglipuro,ID,-7.95,110.2833,75.13,89,77,3.62,broken clouds
288,Basco,PH,20.4487,121.9702,78.31,77,36,7.9,scattered clouds
289,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,88,40,5.75,scattered clouds
290,Kolokani,ML,13.5728,-8.0339,88.32,18,45,5.5,scattered clouds
291,Sherbrooke,CA,45.4001,-71.8991,57.2,38,100,10.36,overcast clouds
292,Nador,MA,35.174,-2.9287,57.2,88,90,12.66,overcast clouds
293,Chernyshevskiy,RU,63.0128,112.4714,22.82,93,100,14.97,snow
294,Ponta Do Sol,PT,32.6667,-17.1,64.4,72,75,8.05,broken clouds
295,Chadan,RU,51.2833,91.5833,37.27,57,11,3.15,few clouds
296,Tevaitoa,PF,-16.7833,-151.5,81.73,75,49,12.59,scattered clouds
297,Touros,BR,-5.1989,-35.4608,80.6,83,40,8.05,scattered clouds
298,Kholtoson,RU,50.2981,103.3097,18.25,73,36,3.96,scattered clouds
299,Lukovetskiy,RU,64.2956,41.9211,39.2,45,20,4.47,light rain
300,Praia Da Vitoria,PT,38.7333,-27.0667,63.0,82,20,7.0,few clouds
301,Broken Hill,AU,-31.95,141.4333,48.2,71,65,8.05,broken clouds
302,Meulaboh,ID,4.1363,96.1285,77.81,83,100,1.81,overcast clouds
303,Rockport,US,28.0206,-97.0544,72.0,83,90,20.71,mist
304,Pritzwalk,DE,53.1494,12.1741,42.01,64,99,1.01,overcast clouds
305,Shintomi,JP,32.0785,131.4723,55.4,76,75,6.91,broken clouds
306,Adrar,MR,20.5022,-10.0711,79.12,20,12,10.92,few clouds
307,Zemio,CF,5.0314,25.1361,68.45,92,98,1.28,overcast clouds
308,Aden,YE,12.7794,45.0367,80.37,75,0,16.75,clear sky
309,Porto Torres,IT,40.835,8.3972,53.6,82,0,3.44,clear sky
310,Zacatlan,MX,19.9333,-97.9667,77.9,33,79,7.96,broken clouds
311,Itoman,JP,26.1247,127.6694,68.0,94,75,9.22,broken clouds
312,Namatanai,PG,-3.6667,152.4333,81.95,73,97,3.44,overcast clouds
313,Vestmanna,FO,62.1564,-7.1664,44.6,93,47,18.41,scattered clouds
314,Yeppoon,AU,-23.1333,150.7333,64.4,94,4,3.44,clear sky
315,Safranbolu,TR,41.2508,32.6942,47.3,93,84,1.88,broken clouds
316,Bondoukou,CI,8.0333,-2.8,81.7,56,77,3.65,broken clouds
317,Lasa,IT,46.6166,10.7002,37.4,63,0,4.61,clear sky
318,Nalut,LY,30.3333,10.85,79.3,19,52,21.05,broken clouds
319,Katsuura,JP,35.1333,140.3,53.6,66,75,9.22,broken clouds
320,Carbonia,IT,39.1672,8.5222,57.2,87,20,4.61,few clouds
321,Namibe,AO,-15.1961,12.1522,80.87,77,19,2.57,few clouds
322,Taoudenni,ML,22.6783,-3.9836,85.28,11,1,9.84,clear sky
323,Lebu,CL,-37.6167,-73.65,56.52,82,31,12.24,scattered clouds
324,Cayenne,GF,4.9333,-52.3333,82.4,78,40,8.05,moderate rain
325,Corrente,BR,-3.7367,-43.3394,74.93,93,80,1.9,moderate rain
326,Ichalkaranji,IN,16.7,74.4667,75.43,73,2,6.22,clear sky
327,Havre-Saint-Pierre,CA,50.2334,-63.5986,39.2,75,1,12.66,clear sky
328,Yeniseysk,RU,58.4497,92.1703,39.92,92,100,13.15,overcast clouds
329,Barranca,PE,-10.75,-77.7667,68.85,78,100,9.37,overcast clouds
330,Kysyl-Syr,RU,63.8986,122.7617,14.49,97,87,4.74,overcast clouds
331,Solnechnyy,RU,50.7214,136.6319,30.11,68,49,3.42,scattered clouds
332,Half Moon Bay,US,37.4636,-122.4286,66.0,76,20,9.22,haze
333,Marzuq,YE,14.4,46.4667,69.01,57,77,5.28,broken clouds
334,Ulaangom,MN,49.9811,92.0667,38.25,48,5,4.72,clear sky
335,Hammerfest,NO,70.6634,23.6821,37.4,87,75,10.36,light rain
336,Abalak,RU,58.1286,68.5944,44.44,89,64,11.18,broken clouds
337,Bantogon,PH,6.5333,124.0333,77.86,85,100,5.17,light rain
338,Leh,IN,34.1667,77.5833,33.62,75,91,4.16,light snow
339,Guapo,BR,-16.8306,-49.5319,80.6,50,40,4.61,scattered clouds
340,Makakilo City,US,21.3469,-158.0858,80.6,54,1,9.22,clear sky
341,Pitimbu,BR,-7.4706,-34.8086,77.0,94,75,5.75,broken clouds
342,Noumea,NC,-22.2763,166.4572,78.8,89,75,2.3,light rain
343,Daru,PG,-9.0763,143.2092,79.74,84,40,11.01,scattered clouds
344,Tilichiki,RU,60.4667,166.1,32.49,96,100,21.16,light rain
345,Karaton,ID,-6.3424,106.1045,78.01,88,20,4.61,mist
